Word	Val_N	Val_M	Val_SD	Ar_N	Ar_M	Ar_SD	Con_N	Con_M	Con_SD	length	Cluster	Freq	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI
Gefühl	23	7.13	2.36	35	6.74	2.55	24	4.08	3.13	6	4	1494183	Unwohlsein	NN	253	999.3847886518	eher	ADV	6679	9970.67514585683	Verliebtsein	NN	193	993.624029375598	teilen	V	796	990.703891313728	schmierig	ADJ	48	99.976580230345	Abgeschiedenheit	NN	45	99.9094669397832	Erlösung	NN	75	99.7427078098464	zugestehen	V	56	99.515555041658	Spontaneität	NN	41	99.4164638851273	Distanz	NN	160	99.3295681837383
Einschlag	24	3.08	1.67	19	5.79	2.86	21	6.81	2.16	9	2	24970	dicht	NN	25	99.4252038960175	irisch	ADJ	27	99.4029671643269	selektiv	ADJ	24	96.8454367830638	indisch	ADJ	32	96.3525886488159	überleben	V	33	95.189562885851	Wahrscheinlichkeit	NN	32	93.6891813850998	Krater	NN	20	93.6799694098569	bläulich	ADJ	19	93.0997127814409	Spur|Spuren	NN	34	92.8114156983852	afrikanisch	ADJ	30	92.1727657106025
Seelsorge	29	6.93	2.02	33	4.30	2.77	26	4.62	2.93	9	4	29215	Sakrament	NN	22	98.2502149682198	mitarbeiten	V	25	97.742905137224	Geistliche	NN	24	96.6716214983613	telefonisch	ADJ	34	95.7464546997471	in	P	6398	9433.6848403076	Altenheim	NN	22	94.7897822801879	tätig	ADJ	253	934.399043508516	zeitgemäß	ADJ	28	93.5087698417252	arbeiten	V	80	93.0903348196182	psychologisch	ADJ	33	92.9260480532413
Taste	26	5.58	1.60	32	1.38	2.32	18	8.22	2.32	5	3	89831	Schließen	V	20	99.7327440640058	fehlen	V	95	99.5491702473769	Annehmen	V	19	98.1371229191175	auf	P	7028	9703.98116991951	nun	ADV	308	97.7945092309868	wieder	ADV	565	96.9387166099832	Record	NN	21	96.8848138391652	unterbrechen	V	42	96.8623166434236	Filmaufzeichnung	NN	13	96.3710647402257	automatisch	ADJ	77	96.1313671661326
Minirock	23	5.57	2.19	22	3.91	3.37	30	8.33	3.09	8	3	7384	Kleid	NN	24	98.0441322654533	extrem	ADJ	35	93.0176292077002	Dame	NN	29	92.1266893041215	Oberteil	NN	16	91.9829716772655	kurz	ADJ	285	907.850186548862	Bikini	NN	13	88.7263300587197	mit	P	710	849.537501874821	herumlaufen	V	15	84.6251671736527	unter	P	76	84.5005130844944	Mode	NN	22	84.2653493238534
Verständnis	33	7.24	2.11	26	3.23	2.94	21	4.52	2.34	11	1	522636	grundlegend	ADJ	2699	9953.98841660276	Freiheit	NN	578	995.625690751941	Gesundheit	NN	554	994.663355122141	einheitlich	ADJ	467	991.019566695866	Papstamt	NN	20	99.8427714786986	Schülerwettbewerb	NN	28	99.5611856558965	Rassismus	NN	70	99.5253262991001	Theologie	NN	77	99.3183705508857	kosmisch	ADJ	59	98.9612719369895	entwickelt	ADJ	106	98.9392247538403
Patrone	34	3.56	2.35	29	3.62	3.48	24	7.88	2.71	7	3
Bahnsteig	32	4.50	1.80	29	2.55	2.11	30	9.10	2.06	9	3	42436	Wartende	NN	18	99.0853795561003	umbauen	V	33	98.3129625943591	verlängert	ADJ	27	97.6045719013626	laufen	V	105	97.4092248784949	Richtung	NN	356	932.692324212294	voll	ADJ	91	93.6344296403274	Beleuchtung	NN	32	93.0815669931226	ermöglichen	V	62	93.0340709703928	rechts	ADV	58	91.6849043863788	Bahn	NN	44	91.5084451628933
See	30	7.40	1.69	23	3.70	3.18	25	9.08	1.29	3	3	627390	Lake	NE	252	996.648603506673	Freilinger	ADJ	123	993.262830764202	bedeckt	ADJ	48	99.9190476317832	kristallblau	ADJ	18	99.9146143833311	reihen	V	53	99.7904196636923	nordamerikanisch	ADJ	45	99.7731764216288	Filmfestival	NN	42	99.7269111257019	Can	NE	40	99.6962520926821	einleiten	V	91	99.6100344443312	Überleben	V	28	99.5270079755237
Stille	26	6.96	2.42	23	2.91	3.04	16	6.56	3.97	6	3	119453	kehrt	V	33	99.1833838947894	Riff	NN	32	98.5434829565195	Motorenheulen	NE	10	98.4757142858884	lebendig	ADJ	64	98.3837559941604	Rausch	NN	30	98.2216941061318	augenblicklich	ADJ	33	98.110000060717	umgeben	V	263	979.183160108169	feierlich	ADJ	246	971.857139341617	breiten	V	205	965.010332230061	frenetisch	ADJ	24	96.3004093557674
Fall	16	4.94	2.64	18	4.61	3.16	11	4.91	2.51	4	1	3994530	wiederkommen	V	446	995.218757340072	Dringlichkeit	NN	84	99.9324671692845	verworren	ADJ	70	99.7704384761202	Bundesverwaltungsgericht	NN	96	99.7212049326801	Übertragung	NN	323	99.5267153654306	Madeleine	NE	71	99.3620003964504	streiten	V	291	99.3511433308535	besser	ADJ	52	99.3162296915962	Unzumutbarkeit	NN	40	99.2700028712464	Nichtzustandekommen	NN	27	99.267027095746
Produktivität	24	5.96	2.29	20	3.95	2.74	20	4.20	2.19	13	1	58115	gestiegen	ADJ	199	999.175916227127	Energieeffizienz	NN	30	99.9259844342093	langfristig	ADJ	55	98.410374765608	Ertrag	NN	35	97.8083366508348	Produktionsfaktor	NN	19	97.2593639989099	orientieren	V	44	97.2366550634284	Senkung	NN	29	97.1472979437924	Konstrukteur	NN	23	96.4228542897147	steigernd	ADJ	19	96.2096557671669	Agilität	NN	19	96.0801974524674
Titel	23	5.35	1.80	19	2.53	2.29	11	5.45	2.77	5	1	1235395	angekündigt	ADJ	424	999.572802280181	König	NN	786	990.199598695922	liquid	ADJ	44	99.9120783772011	albern	ADJ	74	99.8850549507984	anmaßend	ADJ	41	99.8727173118617	lithographiert	ADJ	20	99.796037616039	Workshop	NN	186	99.718504372962	Konferenz	NN	155	99.4911022909722	hierzulande	ADV	124	99.135421010048	and	NE	153	99.0874813169328
Stabilität	25	7.40	2.20	18	1.50	1.47	15	5.20	3.49	10	1	141862	Beschäftigung	NN	300	990.669215104379	festigen	V	38	99.4877317782902	bestmöglich	ADJ	43	99.2370073946112	Deutschland	NE	363	98.1471272016963	Dämpfung	NN	185	964.545975874165	chemisch	ADJ	304	962.327325898567	sichern	V	370	960.409834827291	bekommen	V	299	96.6582919102439	hängen	V	112	96.1575233969961	Kompatibilität	NN	186	955.092960715341
Pegel	22	4.95	1.36	18	3.00	2.20	28	6.57	2.75	5	1	28731	Wasserstand	NN	158	989.980154515885	wieder	ADV	269	98.9810641110068	Ausgangssignal	NN	16	98.4400602367173	TTL	NE	16	98.2019283887755	fallen	V	61	96.8379944011777	sauber	ADJ	44	96.1380193479871	aktuell	ADJ	87	95.4062676420648	Konstanz	NE	26	95.289457134811	von	P	1636	943.522894164083	an	P	961	940.637977267073
Werkstoff	23	5.70	1.79	28	3.07	2.97	23	5.09	2.54	9	1	61355	Verfügung	NN	91	99.3450506191489	Beton	NE	17	99.2214928923715	metallfrei	ADJ	16	98.58513490591	ähnlich	ADJ	105	98.4419917295487	flächig	ADJ	23	98.2174095964643	miteinander	ADV	67	98.0702032363496	Implantat	NN	30	97.9014429508385	Substitution	NN	22	97.5396334486254	Qualität	NN	85	97.1717222441513	zahnärztlich	ADJ	173	967.324654267143
Sonate	22	6.36	2.42	20	3.85	3.00	25	5.52	3.18	6	4	12374	Geige	NN	20	99.6165117047859	vierhändig	ADJ	13	98.2293520939803	B-Dur	NN	101	975.625776735403	Alban	NE	16	97.3343765313328	Erwachen	NN	19	97.1737798451096	Dur	NN	15	96.7694012767276	D-Dur	NN	105	953.749860280643	heben	V	31	95.7727470501959	groß	ADJ	131	94.0803877236323	Kammermusik	NN	16	92.0126286385762
Volkswirtschaft	28	4.43	1.89	24	2.79	2.40	19	4.74	3.31	15	1	56655	ausgerichtet	ADJ	35	99.6517930061059	Indien	NE	47	99.5696863339922	dortig	ADJ	41	99.1646390357784	Konkurrenzfähigkeit	NN	19	99.1149306161194	Studium	NN	299	985.24798812222	Griechenland	NE	45	98.6657162478257	geschlossener	ADJ	26	98.1975749242107	Nachfrageseite	NN	16	97.7205669212083	kosten	V	69	97.6859761036944	Sozialpolitik	NN	25	96.3775741993895
Streichholz	22	5.73	2.07	20	2.05	2.58	23	9.13	2.38	11	3	13766	abgebrannt	ADJ	125	982.580932757441	zünden	V	148	963.215076407424	Fürther	NN	14	96.54759798101	Streichholzschachtel	NN	13	95.5077948454642	entflammen	V	15	94.3165966999116	befinden	V	13	9.65183698089954	gleich	ADV	21	9.21718751747891	normal	ADJ	15	9.18172449645636	umlegen	V	18	89.3924676761135	haben	V	438	86.1922371155244
Benennung	26	5.15	2.03	20	1.65	2.25	29	4.41	3.71	9	1	30684	Identifizierung	NN	24	99.9762157440791	über	P	317	99.7590816546704	Geschichte	NN	375	989.095020038233	bestimmt	ADJ	87	96.7059365393431	Art	NN	91	93.9390420464095	lateinisch	ADJ	27	93.1889351505192	ursprünglich	ADJ	49	92.747513628842	wissenschaftlich	ADJ	56	92.6144647975907	Schiedsrichter	NN	30	91.8754613906766	weisen	V	15	9.94447738117022
Teich	35	6.43	2.27	25	2.08	2.40	28	9.04	2.22	5	3	129846	werfen	V	387	994.202663117983	dicht	ADJ	73	99.6555379836765	Sitzplatz	NN	36	99.4010982736851	übern	V	26	99.3480360228116	Seerose	NN	157	986.638096791241	Huttaler	ADJ	12	98.0691655670481	setzen	V	630	975.761708636646	Hutthaler	ADJ	11	97.9703960290096	zurück	ADV	103	97.932842445911	benachbart	ADJ	48	97.6752431640424
Rente	30	4.60	2.31	20	2.70	2.36	32	6.97	2.52	5	3	233915	Anstieg	NN	66	99.6397751863715	Berechtigte	NN	32	99.5875630955963	Beitrag	NN	690	981.22453356913	Gesundheitsfürsorge	NN	23	98.9794163924683	nein	NN	44	98.4564583032363	Herabsetzung	NN	29	98.4547846217437	grundsätzlich	ADJ	159	98.2291782800633	Rentenanspruch	NN	27	98.1711263447999	Pension	NN	1750	9705.03701766605	zeitlich	ADJ	91	97.5676758298062
Utopie	27	5.22	1.99	28	5.57	2.92	21	4.19	2.77	6	4	50930	gelebt	ADJ	182	998.747897086566	religiös	ADJ	51	99.6114377279942	Vollbeschäftigung	NN	21	99.5736063033799	Vorstellung	NN	60	99.4809362617766	20.	ADJ	54	99.4136196733634	über	P	440	99.3815090650761	Alptraum	NN	29	99.1052070237274	Liebe	NN	71	95.7247088774336	Geschichte	NN	103	95.6546968221576	Revolution	NN	40	94.8220884988597
Sanierung	22	4.73	2.49	26	3.50	2.42	20	6.60	2.98	9	1	192169	derzeit	ADV	164	99.9586968412646	Quartier	NN	46	99.8928497879283	Feuerwehrhaus	NN	29	99.8869514364897	Haupthaus	NN	27	99.6621193141996	Bauleistung	NN	28	99.598880642441	Marktplatz	NN	52	99.4833759759425	Industriebrache	NN	22	99.4361218091322	Neuplanung	NN	20	99.1728271196205	Treppe	NN	59	99.1584978936155	Denkmalimmobilie	NN	17	99.0584830453465
Scham	23	2.78	1.88	26	6.04	2.76	24	5.08	3.08	5	2	37526	Versagensangst	NN	16	99.5962986659572	internalisiert	ADJ	14	98.7994098549627	spüren	V	43	98.4843751276596	ersparen	V	31	98.4492910362954	Sprachlosigkeit	NN	18	98.2382574742641	Brust	NN	37	98.1519266638984	überwinden	V	220	971.616608123541	verbunden	ADJ	40	97.8836176666669	häufig	ADJ	81	97.4607318334104	Intimität	NN	20	96.8835241805726
Augenblick	25	6.76	2.13	19	5.11	3.03	23	5.39	3.00	10	4	307962	entschuldigen	V	57	99.3006664267433	magisch	ADJ	336	983.043372269923	Befreiung	NN	59	98.5063975860401	bedeutend	ADJ	106	97.9609351291225	ereignen	V	48	96.9175539026936	gespeichert	NN	17	96.4396770105853	schließen	V	181	96.3853932013285	läuten	V	39	95.9147630614587	wundervoller	ADJ	26	95.3551735293428	Weltgeschichte	NN	34	94.819454278525
Klinik	23	3.57	2.54	27	5.33	2.76	25	8.20	2.16	6	2	360525	Thorax	NE	166	994.442147945355	Clown	NE	27	99.9890279155933	Aufenthalt	NN	102	99.9702267243533	Fallpauschale	NN	26	99.5934065330796	Kooperationspartner	NN	52	99.3630087985565	eingerichtet	ADJ	68	99.0924648415108	entfernen	ADJ	94	99.0005006615382	Bavaria	NE	206	986.544245794815	Thoraxchirurgie	NN	147	983.858578793031	Privatklinik	NN	27	98.9048924267535
Staub	27	3.52	2.29	21	2.71	2.95	15	8.20	2.62	5	3	138106	Wassertröpfchen	NN	19	99.8111335355031	einhüllen	V	25	99.2672948760667	zuverlässig	ADJ	66	99.1270559091412	Unrat	NN	25	99.1241723619254	vulkanisch	ADJ	31	99.1030129913878	mahlen	V	29	98.301999268907	lagern	V	47	98.1008718465446	kriechen	V	215	979.039393138482	werfen	V	395	978.551829203779	Teilchen	NN	40	97.8786173994149
Zeitspanne	31	5.16	1.04	20	1.75	1.80	16	3.44	2.50	10	1	42148	seit	P	169	99.140002110249	gleich	ADJ	408	989.550346735959	für	P	1835	986.708914347809	untersucht	ADJ	28	97.1658085060593	zwischen	P	2738	9573.73513063412	akzeptabel	ADJ	31	95.8948495562002	definiert	V	27	94.1764700001958	lang	ADJ	2731	9358.63085811451	endlich	ADJ	22	93.7661973475287	benötigt	ADJ	35	92.7851711247
Ernährung	28	6.64	1.87	26	3.77	2.82	21	6.81	2.14	9	4	363197	Abnehmen	NN	248	993.503333103142	bestmöglich	ADJ	61	99.986337352267	auskennen	V	58	99.9441342943274	Phytotherapie	NN	26	99.6513634575113	ovo-lacto-vegetabil	ADJ	13	99.560190465893	grundlegend	ADJ	118	99.4242668384647	lacto-vegetabil	ADJ	13	99.0552726327815	schonend	ADJ	55	98.916236166327	Tierschutz	NN	51	98.5985868092954	ökologischer	ADJ	46	98.1162689321864
Aufführung	19	6.26	1.97	31	4.26	2.83	18	5.89	2.37	10	4	131845	unter	P	580	99.9475793235141	jeweilig	ADJ	117	99.4362962681558	erleben	V	451	982.22382380488	Tristan	NE	28	98.43607186735	Star	NN	60	98.3444040859122	Märchenoper	NN	15	97.9040886114125	zweimalig	ADJ	28	97.1178767399549	Film	NN	565	954.962653684039	restlos	ADJ	35	95.8128371910586	Figurentheater	NN	20	95.7712919197817
Potential	16	6.81	2.40	27	5.04	2.74	28	3.75	3.09	9	4	200764	aufklärerisch	ADJ	27	99.8311359520257	Abschätzung	NN	30	99.7400442471102	humoristisch	ADJ	29	99.5801437770019	Bioenergie	NN	28	99.4449420433126	stärken	V	88	99.4047472091823	Standort	NN	101	98.9447011392608	Einschätzung	NN	67	98.3453183717136	verborgen	ADJ	236	974.433842700226	Fähigkeit	NN	415	973.765676738442	solar	ADJ	35	97.9958715363104
Ablenkung	23	5.70	1.82	16	3.44	2.48	18	5.89	3.07	9	1	40079	langsam	ADJ	75	99.9357925514953	minimieren	V	28	99.7590562359612	Unruhe	NN	32	96.2856075332687	Lernen	NN	39	95.0809037247129	Irreführung	NN	19	93.5222601485826	Laserstrahl	NN	19	93.4763971787477	Verführung	NN	21	93.1193029112769	Leckerchen	NN	21	93.0546746462303	erfahren	V	61	91.3523710391139	Magnetfeld	NN	23	90.1714899536703
Lexikon	14	6.57	2.50	24	2.96	3.00	22	8.59	2.15	7	3	73324	geographisch-statistisch	ADJ	11	99.8350030103511	Aufschlagen	NN	17	99.8018393629607	Philosoph	NN	37	99.4523089871584	Bayern	NE	67	98.5963204386059	siehe	V	47	98.153350382118	Springer	NE	31	97.5850991804291	benutzen	V	76	96.6796385587577	verschieden	ADJ	185	96.6076495130231	geordnet	ADJ	31	96.1634691422636	Deutsch-Baltische	ADJ	13	96.0336571633337
Ebene	24	5.79	1.79	17	1.18	1.29	19	6.74	2.90	5	3	689524	Bund	NN	610	995.671939665841	telepathisch	ADJ	36	99.6875632394395	spürbar	ADJ	109	99.5796936216385	abstimmen	V	131	99.5719538395389	demokratisch	ADJ	190	99.4073367076514	mitgestalten	V	56	99.3239508958584	körperlich	ADJ	3216	9895.82225330743	erfolgen	V	1035	983.496644987785	bundesstaatlich	ADJ	185	981.239141074892	selb	ADV	33	98.999814946276
Koppelung	27	5.00	1.69	22	1.95	1.96	23	2.48	2.15	9	1	6305	Verbot	NN	24	95.8938697571881	einzeln	ADJ	12	9.60210762525154	Beitrag	NN	11	9.4423699697325	entstehen	V	11	9.29624836090251	bestehen	V	13	9.23937684211838	Idee	NN	10	9.15740038380993	induktiv	ADJ	14	88.6429491694485	strikt	ADJ	20	86.102045298224	System	NN	36	80.0743691404869	aufgrund	P	35	79.8109667766261
Verbrechen	25	2.08	2.84	17	7.35	2.37	28	5.93	2.61	10	2	196075	schwerwiegend	ADJ	273	992.94426121662	Hussein	NE	37	99.9589035355101	gleichsetzen	V	42	99.9378874468583	verhüten	V	28	99.7785122653913	Strudel	NN	30	99.5934021708954	Krankheit	NN	113	99.265671074134	kämpfen	V	102	98.8362418778984	SED-Regime	NN	20	98.8155336180486	schaurig	ADJ	29	98.4671111294327	Heldentat	NN	26	98.3944283486686
Studio	33	6.24	1.94	29	2.86	2.43	21	6.67	2.56	6	3	225061	Produzent	NN	303	997.135174076573	Corel	NE	27	99.2176502265504	Borland	NE	22	99.1069678777563	hardwarefrei	ADJ	11	98.7055335283281	Filmkunst	NN	23	98.6307753328437	britisch	ADJ	86	98.077720639994	Studio	NE	35	98.0550812596763	Engineer	NE	23	98.0175329267562	virtuell	ADJ	360	972.118837417756	Backstag	NN	28	97.8145916032661
Fürst	23	5.65	1.82	29	1.83	1.97	32	7.78	2.37	5	3	123666	Kaunitz-Rietberg	NE	12	99.858192506164	rivalisierend	ADJ	24	99.6524759058872	Grundherr	NN	22	99.5023687963165	Ypsheim-Gindelbach	NE	10	99.1805054977853	Mindaugas	NE	13	99.0010509381982	Sayn-Wittgenstein-Sayn	NE	13	98.6969435037271	samt	P	55	98.5846689761275	folgen	V	129	98.4912103093145	Moldau	NE	23	98.4642336678808	Schönburg	NE	18	98.1854860502849
Aufgabe	16	5.19	2.66	27	4.52	2.82	18	5.11	3.05	7	1	1860466	entsprechend	P	593	997.370471658764	Schwierigkeitsgrad	NN	389	995.215199967791	jeweils	ADV	1614	991.379970263424	Staatsleitung	NN	19	99.9982804343102	eine	ADJ	173	99.8608075200908	ureigentlich	ADJ	19	99.7340202634337	verlangt	ADJ	56	99.7215129888445	Dezentralisierung	NN	44	99.5549732066765	Berufsgenossenschaft	NN	63	99.495950609335	bereitstellen	V	157	99.4523826410796
Unsterblichkeit	28	5.54	2.66	26	5.46	3.46	22	4.23	3.48	15	4	21288	gewinnen	V	59	98.6986884320877	leugnen	V	22	98.5042643108837	Allmacht	NN	18	97.9908988773601	natürlich	ADJ	49	92.5114485591893	Gesundheit	NN	38	92.4121610692766	teilhaftig	ADJ	14	92.0637868069388	Tod	NN	251	901.557022742874	König	NN	10	9.93867671657587	erkennen	V	17	9.58256978628026	überhaupt	ADV	21	9.3963974254039
Kragen	37	4.70	1.39	33	1.67	2.25	18	8.28	1.84	6	3	48296	wollen	V	671	995.356570997585	bestickt	ADJ	18	98.8296724104867	weich	ADJ	44	98.4777514688885	geschlossen	ADJ	43	96.0233594664353	tragen	V	362	951.710257980039	Umhang	NN	21	95.3528379338564	Mantel	NN	182	943.921705946817	Knopfleiste	NN	114	941.763071240412	Button	NE	29	94.2418910235079	silbern	ADJ	29	93.0619020572883
Illusion	28	4.86	1.96	28	5.21	2.47	22	5.09	3.39	8	1	110103	halten	V	208	99.909121824603	Hoffnung	NN	335	987.132381158077	entlarven	V	189	983.045744843963	pur	ADJ	260	980.609386803199	Gehirn	NN	51	98.3110193059885	of	NE	351	972.753088635365	Stone	NE	30	97.7481660583132	erschaffen	V	227	963.520021328061	wohl	ADV	267	95.8571304267744	Bewusstsein	NN	54	93.1357452670731
Regenbogen	14	8.00	2.08	23	3.30	2.91	21	9.29	1.55	10	3	32942	Polarlicht	NN	17	99.1755692135449	AG	NN	49	98.9612121231504	strahlend	ADJ	32	98.4833580865568	Kindergruppe	NN	19	97.920684160609	Integrationsbetrieb	NN	13	97.0348664313255	Mannheim	NE	32	96.9367511079064	einfangen	V	27	95.4221167466017	Gott	NN	81	93.7368685032264	Regen	NN	38	93.4355772906341	Bioladen	NN	16	93.1549433982076
Berücksichtigung	22	6.50	2.02	27	2.74	2.44	19	2.89	2.79	16	1	219807	ausreichend	ADJ	533	990.869630789432	Webstandard	NN	24	99.9973404330423	Finanzierungskosten	NN	23	99.9943346581786	Verletztenrente	NN	19	99.9425997713111	Maßgabe	NN	47	99.9035297928084	mindernd	ADJ	22	99.868723795544	Komponente	NN	84	99.2741371223539	Pflegeaufwendung	NN	15	99.0147189992077	erhöht	ADJ	97	98.9921243474604	Fraueninteresse	NN	17	98.8039541210281
Substitution	36	3.89	1.51	21	2.62	2.73	25	4.04	3.14	12	1	11638	gefährlich	ADJ	38	99.5883988779486	gezielt	ADJ	36	98.0784586746055	Werkstoff	NN	22	97.5396334486254	Eliminierung	NN	15	96.6885440554773	Rahmen	NN	48	96.5460958554537	Erdgas	NN	22	95.671413613384	zunehmend	ADJ	40	94.8997752932616	Stoff	NN	33	92.0871715817231	Art	NN	21	9.91502139713455	beispielsweise	ADV	12	9.74947827385197
Großmutter	20	7.50	2.37	28	4.46	3.33	31	8.52	2.78	10	4	76041	Brief	NN	60	99.5661242721666	lächeln	V	36	97.9188842639983	nach	P	782	97.6321586778213	Julia	NE	39	97.5094913560279	streng	ADJ	55	97.4536754618961	Enkelsohn	NN	16	96.840161323746	gehören	V	139	96.7080184298203	krank	ADJ	281	954.188011671881	Küche	NN	57	95.9369769510382	Frieda	NE	22	95.2392915269896
Rattengift	34	2.44	2.85	23	4.30	2.98	17	7.47	2.65	10	2	3109	präpariert	ADJ	15	98.9366219162529	handeln	V	33	98.570981695114	werden	V	208	96.1126935626559	um	P	71	95.9937358345371	ausgelegt	ADJ	16	95.1348208607154	mit	P	576	943.819716219325	töten	V	22	88.3504282493693	auslegen	V	136	865.449573429029	Insektizid	NN	12	84.1208281837565	wirken	V	29	81.724328437755
Absprache	20	5.40	2.06	26	3.42	2.72	14	5.36	3.15	9	1	132161	zwischen	P	3963	9958.07308193924	ohne	P	4277	9819.01284635325	Treffen	NN	80	98.876178202028	interfraktionell	ADJ	21	98.8327481168281	akzeptieren	V	70	95.5860152033282	persönlich	ADJ	631	943.406138383539	kurz	ADJ	865	937.465581845127	Änderung	NN	100	93.47627240314	Hausbesuch	NN	28	93.4222867724088	Absprache	NN	52	92.8880971298626
Tätigkeit	28	5.71	1.82	26	3.77	2.73	21	4.52	2.69	9	1	690314	20jährig	ADJ	228	993.244577557009	präventiv	ADJ	66	99.7185022377194	Aufgabenfeld	NN	41	99.6686729543774	geartet	ADJ	51	99.6615880616067	Präsidium	NN	59	99.5283342553795	passiv	ADJ	99	99.4582570122424	28-jährig	ADJ	32	99.3091099510392	Richtervertretung	NN	17	99.0525762918017	Tagesmutter	NN	251	989.870964709118	konzentrieren	V	510	984.706917529211
Lawine	16	3.13	2.47	19	6.32	2.19	17	9.00	1.66	6	2	17594	lösen	V	251	976.622786699894	schwer	ADJ	26	9.75260385888757	selbst	ADV	49	9.0915413332589	tödlich	ADJ	28	89.0641868266454	Sturmflut	NN	16	88.6434182275426	über	P	200	84.2116181285117	Stein	NN	36	84.1624614032596	los	ADJ	28	83.5793599658776	Opfer	NN	37	82.3773647965389	Schneefall	NN	18	81.9411127026989
Verbesserung	29	7.07	2.94	21	4.19	2.36	24	4.96	3.54	12	4	517235	Patientensicherheit	NN	175	998.298868008226	Raum	NN	887	997.903697682403	Allgemeinzustand	NN	191	997.188354227733	Mobilität	NN	349	991.928956172843	Bahnverbindung	NN	29	99.5965933739404	Wirtschaftsklima	NN	19	99.3102287125808	Lebenswelt	NN	50	99.2655269258621	Bahnanbindung	NN	21	99.2117789500608	zielen	V	78	99.1599978111675	Ausdauer	NN	300	986.805075911686
Mischung	28	5.54	1.86	23	2.43	2.00	21	5.05	2.77	8	1	326793	Krimi	NN	291	994.224474502845	kunterbunt	ADJ	202	993.521770148316	Leichtigkeit	NN	54	99.9384690477508	Spott	NN	41	99.7196583622977	fertig	NN	25	99.7169068922839	Stilelement	NN	29	99.3449068312953	herb	ADJ	46	99.1309757934412	Spanisch	NN	50	98.8028547995413	etabliert	ADJ	69	98.4121099073948	Jung	ADJ	298	977.415573898884
Konsum	19	4.16	2.14	27	5.04	2.49	12	5.25	3.52	6	2	117869	gezuckert	ADJ	19	99.9715090584973	genussvoll	ADJ	27	99.6233443306091	langjährig	ADJ	68	99.5344333285013	Verkehr	NN	66	98.6339041517488	risikofrei	NN	12	98.4205884767457	Olivenöl	NE	28	98.119933049212	Nichtkonsum	NN	12	97.9945082152628	Konjunktur	NN	33	97.7672469629429	antreiben	V	35	97.6341552493712	Ausweitung	NN	37	97.5467405178866
Freizeit	32	8.78	1.62	29	4.97	1.95	18	6.67	2.81	8	4	253668	christlich	ADJ	106	99.9445316723658	Kind	NN	1189	982.783903618554	bemessener	ADJ	18	98.9370308309848	ausschließlich	ADV	130	98.9363247036808	unterwegs	ADV	128	98.86997600645	gelungen	ADJ	86	98.8076163921353	Pause	NN	102	98.7408544996627	Event	NN	72	98.4615360940148	Arbeit	NN	3655	9768.30159563976	Jugend	NN	408	973.777635679409
Vorrecht	22	4.68	2.80	23	4.22	2.81	20	4.55	3.17	8	1	12529	König	NN	36	99.7290793895025	gewähren|währen	V	25	98.3316265605985	Art	NN	60	96.6541241681543	Segnung	NN	17	95.0415001450556	besonder	ADJ	271	943.315266155567	genießen	V	207	913.790705425718	begrenzt	ADJ	28	91.1199233700615	verbinden	V	10	9.97868613575631	heute	ADV	38	9.78201038165783	damals	ADV	14	9.66970277607613
Speise	29	6.59	2.20	22	3.45	2.50	23	7.35	2.31	6	3	24359	gemütlich	ADJ	39	99.0742192212824	Tag	NN	120	98.6929054019595	essen	V	237	950.518161949903	vorzüglich	ADJ	24	95.2018863483035	Gott	NN	329	936.359595469987	mager	ADJ	24	93.6255427816428	durch	P	226	93.5332247101282	delikat	ADJ	18	93.5071668131593	reichlich	ADJ	32	93.0714877701792	anbieten	V	52	92.0569151783184
Schärfung	22	4.41	1.82	8	6.13	2.03	11	4.73	2.76	9	2	4246	Bewusstsein	NN	161	958.953546161667	Schulprofil	NN	11	90.3244024560607	Verstand	NN	19	90.0061215880597	Sinneswahrnehmung	NN	12	87.0052592462668	begrifflich	ADJ	14	84.6623537848992	Aufmerksamkeit	NN	21	79.0443875526056	inhaltlich	ADJ	21	78.3179146195374	Sättigung	NN	12	78.0237313792466	stark	ADJ	40	75.7967999055523	nachträglich	ADJ	17	69.4530774117771
Lagerung	25	4.76	1.71	24	1.13	1.80	24	5.88	2.66	8	1	65607	gesetzeskonform	ADJ	20	99.8033995404086	US-Atomwaffe	NN	16	99.2913559455605	Rohmaterial	NN	22	97.326105720399	kurzzeitig	ADJ	35	97.0507482039969	empfindlich	ADJ	44	97.0378784529638	Präsentation	NN	47	96.8991461598886	strahlend	ADJ	40	96.8378891501418	voraussetzen	V	37	96.795907961865	stehend	ADJ	59	96.4854573322785	Möbel	NN	40	95.9819325969248
