Word	Val_N	Val_M	Val_SD	Ar_N	Ar_M	Ar_SD	Con_N	Con_M	Con_SD	length	Cluster	Freq	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI
Eimer	19	4.89	1.82	23	1.04	1.33	18	8.28	3.34	5	3	71425	eh	ADV	75	99.7524385640022	Beton	NN	33	99.3218061346498	greifen	V	66	99.1912506338419	mitgebracht	ADJ	28	99.038410052682	Sieb	NN	26	98.9560908872733	Eis	NN	46	98.318966041235	Wischmop	NN	14	97.8048969399831	Schlamm	NN	28	97.2694970038033	Müllsack	NN	20	97.1484989266923	in	P	9508	9659.1973584344
Befreiung	27	7.81	2.48	30	6.63	3.16	23	4.35	2.89	9	4	131868	Erneuerung	NN	40	99.9260349216989	Abhängigkeit	NN	55	99.6794473933166	Naziregime	NN	22	99.0483828358308	Stundung	NN	22	98.9552590714386	unwiderruflich	ADJ	28	98.5917267360713	Augenblick	NN	59	98.5063975860401	hinsichtlich	P	70	98.1981946586315	Dachau	NE	30	98.1376743379873	Bulgarien	NE	36	97.6573505133559	Schmerz	NN	80	97.1758513681153
Zeit	28	5.00	2.07	19	4.42	2.22	28	5.36	3.36	4	1	10021299	Bummeln	NN	365	997.367616428478	erübrigen	V	522	995.891077861778	prägend	ADJ	680	995.566522301456	sitzungsfrei	ADJ	213	995.402067866974	Besinnlichkeit	NN	307	994.779020753255	umstellen	V	614	99.6492750695632	flugfrei	ADJ	26	99.5361163272512	Oberflächlichkeit	NN	86	99.386061076392	Kultstatus	NN	112	99.3564011172082	Genesung	NN	176	99.3519292337609
Matrix	24	5.25	1.89	17	4.18	2.94	22	3.05	3.24	6	1	44041	zerstören	V	46	99.2198304382198	existieren	V	48	98.3885947086257	&quot;	V	72	97.1406718442779	Quantenheilung	NN	115	961.404065012145	bestimmen	V	58	96.8987584890584	aufbauen	V	56	93.6297144439238	beschreiben	V	63	93.4491017190425	Tabelle	NN	41	93.3755595358759	Patch	NE	23	92.7375190787224	Hilfe	NN	85	92.70274252763
Brutalität	24	1.96	3.36	28	7.82	2.06	28	5.04	2.67	10	2	27665	Intoleranz	NN	21	99.4327132077319	Menschenverachtung	NN	123	985.727805013067	Darstellung	NN	45	97.0502825850967	durchsetzen	V	39	95.9694043902164	zügellos	ADJ	16	93.2731892265878	von	P	1575	928.760749624132	Zunahme	NN	27	92.4431284880777	Mischung	NN	38	91.9529529107297	ob	P	29	91.8907960204547	Gewissenlosigkeit	NN	12	91.6809482349062
Härte	20	4.50	1.64	25	4.88	2.68	22	4.45	3.29	5	1	71529	mildern	V	26	99.1650413800695	Urteil	NN	65	98.0687792900482	normal	ADJ	114	97.2861420409919	Erektion	NN	22	96.8805215427608	Folge	NN	102	96.6755390686527	Belastbarkeit	NN	26	96.5145934737332	Sanktion	NN	34	96.2925096468257	unvermittelt	ADJ	26	96.2220994853278	E-Modul	NN	15	96.0355131633662	bestimmen	V	73	95.6111033391237
Aufstieg	27	7.48	1.70	23	5.96	2.53	28	5.25	2.93	8	4	243450	beruflich	ADJ	2507	9922.20974462498	USA	NE	169	99.8116309879903	Weltstar	NN	27	99.5634147125846	planetar	ADJ	167	985.361430549193	klappen	V	435	982.10406009533	schießen	V	94	98.6623471252034	rechnerisch	ADJ	40	98.0083283670095	souverän	ADJ	313	977.966832750376	Ballon	NN	36	97.9670543354291	bemerkenswert	ADJ	62	97.3566052165023
Resignation	24	3.21	2.93	25	4.20	3.29	30	4.23	3.04	11	2	23511	Demoralisierung	NN	13	99.1785728026013	verharren	V	22	99.0379337149724	gewiss	ADJ	286	989.155086558293	Misstrauen	NN	24	97.7278869168669	müde	ADJ	32	97.1826690640077	Trägheit	NN	19	96.8875361396576	Grund	NN	333	959.181384713911	Zweifel	NN	36	95.0421470270401	nur	ADV	326	94.477791781237	Optimismus	NN	22	93.9661479340918
Kleber	27	5.07	1.86	24	2.08	2.19	24	8.33	2.51	6	3	10581	geeignet	ADJ	39	99.6015977098818	Uhu	NE	16	99.2926477567761	Trocknen	NN	18	96.3383711733728	Abbinden	NN	12	93.860820115632	Papier	NN	32	93.716191649638	Schraube|Schrauben	NN	22	93.6056816438233	Gummi	NN	20	93.5497839235707	überschüssig	ADJ	19	93.0405517205388	Lack	NN	150	921.41957334052	Etikett|Etikette	NN	17	90.9122571089982
Metropole	28	6.46	2.59	21	5.29	1.98	25	6.64	2.58	9	4	102369	westbengalisch	ADJ	12	99.9806567414763	beherbergen	V	38	99.7982026119414	Stück	NE	94	99.4742118814388	verfügen	V	93	99.2129205687099	bereisen	V	31	99.0974270742233	Bayern	NE	81	98.2005368669511	westschwedisch	ADJ	13	98.003741607255	Bangalore	NE	20	97.3277997176899	marokkanisch	ADJ	27	97.218176728771	Einwohner	NN	292	968.062304938697
