Word	Val_N	Val_M	Val_SD	Ar_N	Ar_M	Ar_SD	Con_N	Con_M	Con_SD	length	Cluster	Freq	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	Avrg_Cosine
Wagen	26	5.46	2.00	21	3.14	2.99	18	8.11	2.19	5	3	486790	Rad	2264	8249.01900441424	Pferd	2611	7902.87203011857	Fahrer	1474	4653.68936196015	Lokomotive	681	3045.73978507441	Zug	792	1367.88625289112	Wagen	508	1033.29629663546	Klasse	620	792.046949552693	Typ	462	769.837314330174	Nummer	537	638.54298382907	Formel	270	627.806969487666	0.9104866600137603
Kapitel	22	6.82	2.06	26	2.08	2.35	17	6.82	2.30	7	3	573750	Buch	6213	15670.2737324602	Kapitel	3958	15178.2010086838	Geschichte	4391	9917.11365963988	Vers	1258	5505.79208378062	Abschnitt	1631	5314.86683839482	Offenbarung	536	2100.70477944653	Anfang	1258	1613.88404869953	Beginn	975	1511.24345976742	Abschluss	672	1225.93070763064	Thema	1608	1150.37054731749	0.9020238276624637
Ausbruch	22	4.05	2.42	23	6.30	3.08	13	6.62	2.33	8	2	97570	Krankheit	3741	18848.0075524961	Krieg	3019	13398.7272654274	Vulkan	1217	8106.60001616647	Erkrankung	1330	5844.93943391866	Krise	1229	5574.65236258473	Gewalt	934	3453.13669892576	Revolution	564	2397.06376773701	Feuer	578	2221.78766582869	Brand	434	1811.93140877252	Maul	326	1656.65624694523	0.9534573802745973
Sauerstoff	29	7.90	1.63	20	4.00	3.21	17	5.71	3.70	10	4	104429	Wasser	2909	10388.2375929047	Blut	1834	8567.24896679172	Luft	1449	5486.91572687863	Körper	838	2452.47109214685	Gehirn	476	1875.40084923022	Versorgung	443	1542.41096008545	Licht	575	1539.68049272625	Transport	369	1394.3231560462	Reaktion	433	1340.34563087371	Verbrennung	278	1307.51785203056	0.9366675120323995
Stall	35	5.51	2.17	24	3.13	2.86	19	8.53	1.31	5	3	162082	Scheune	1839	12426.2532372478	Pferd	2493	10240.9455442836	Kuh	645	2969.67260331521	Tier	933	2269.97142843391	Vieh	275	1381.71038837217	Huhn	322	1371.3862659665	Schwein	357	1356.10941518877	Haus	847	1275.18671570144	Krippe	246	1191.70197425974	Stroh	223	1038.11650765995	0.9036566583451723
Palette	25	5.44	1.76	15	0.80	1.01	14	7.36	2.71	7	3	103664	Produkt	1386	4205.04808266667	Möglichkeit	1429	3612.6107332159	Dienstleistung	712	2776.91273938006	Angebot	1029	2692.99345607171	Farbe	658	1735.2038864264	Pinsel	249	1176.86894042546	Thema	774	1135.71327392846	Aktivität	304	769.887571534703	Maßnahme	338	678.034664289574	Anwendung	292	624.347959588698	0.865573128067901
Schreck	34	3.53	2.19	29	7.07	2.58	30	5.33	2.58	7	2	39102	Auge	253	566.689445997447	Angst	208	557.678728547496	Stuhl	76	255.671547376327	Leben	160	169.975491955364	Mund	60	155.866555512777	Morgen	62	149.898316687247	Furcht	37	132.108502228911	Herz	73	112.343646765335	Freude	60	107.391506503772	Ärger	36	107.37588944659	0.9226273730188742
Fön	23	5.17	2.23	23	1.43	1.73	18	8.67	2.30	3	3	14756	Telefon	707	4133.25782089053	Dusche	316	2070.28032818774	Radio	222	1100.17121850557	Bad	201	1069.32008575692	Bügeleisen	115	915.595520012094	Balkon	102	511.381240469541	Kühlschrank	82	413.965348559382	Fernseher	79	357.25816559682	Heizung	59	269.35615618826	Schreibtisch	53	254.244774419016	0.9575653056346569
Vergangenheit	22	5.77	2.20	25	4.80	2.40	29	4.93	3.68	13	4	696824	Zukunft	9379	28891.6372682245	Fehler	4116	11395.3021146264	Schatten	2243	7887.9971754092	Erfahrung	2482	3634.17945167443	Zeugnis	1022	3199.52155768056	Ereignis	1012	1979.86631666517	Versäumnis	409	1793.39152442272	Geist	1004	1754.75641389263	Sünde	560	1549.07792198375	Gespenst	363	1487.04182085534	0.9099959421504872
Heimat	28	7.71	2.34	16	4.06	2.77	21	6.14	2.54	6	4	441674	Richtung	8672	30218.2557725023	Stück	3098	8521.35049442956	Verlust	1297	3831.06547500583	Begriff	1298	2989.05627244462	Liebe	1077	2026.67433636129	Volk	944	1989.9515392161	Familie	1274	1832.7542877161	Identität	601	1765.83238933472	Sitte	437	1722.29408601798	Kultur	721	1246.28667545699	0.9118705475585844
Zärtlichkeit	29	8.24	3.07	19	7.74	2.10	26	6.50	3.42	12	4	25354	Liebe	1610	8257.74817098304	Sex	480	2650.32898823784	Austausch	381	1886.5876245679	Sehnsucht	180	917.455184546458	Leidenschaft	182	879.263169257625	Romantik	135	782.503524701569	Gefühl	216	682.979940555397	Zorn	115	603.846414588965	Aufmerksamkeit	144	558.381518563858	Bedürfnis	140	497.486023301883	0.9260117360287964
Tür	30	5.97	1.90	28	1.82	2.39	27	9.81	0.79	3	3	234481	Fenster	25251	157854.854185892	Tor	2794	10149.7885264794	Wand	1459	5171.7312908718	Treppe	767	3131.73973737443	Schrank	662	2852.9988308752	Haube	379	1807.0819030736	Möbel	483	1789.48249642609	Uhr	1125	1624.28953045821	Haus	926	1080.19244564144	Schloss	400	1040.27902592097	0.7776364333819189
Knie	25	4.96	2.09	23	1.87	1.77	17	8.94	2.49	4	3	170353	Ellbogen	530	3607.71479643092	Fuß	1005	3082.87496400851	Zirkus	497	2753.87785435922	Bein	547	1619.03722734928	Hand	760	1333.52604528695	Verletzung	422	1272.66265275564	Schuss	344	1248.43985426783	Gelenk	278	1121.57996938372	Wade	182	902.352698327548	Loch	262	734.369140767637	0.9016926411468871
Ungleichgewicht	22	3.59	2.56	20	4.55	3.46	24	5.08	2.50	15	2	27410	Abbau	187	951.349957581283	Körper	256	807.832118716621	Kraft	158	390.915289541941	Korrektur	74	303.673966165083	Handel	84	265.782522360133	Angebot	128	255.748729778255	Ursache	90	252.494617301425	Krankheit	93	245.140876280086	Folge	102	196.543003357679	Last	61	193.131206031889	0.9239723948704969
