Word	Val_N	Val_M	Val_SD	Ar_N	Ar_M	Ar_SD	Con_N	Con_M	Con_SD	length	Cluster	Freq	Avrg_Cosine
Sahne	32	7.19	2.15	24	3.54	2.84	31	9.13	1.89	5	3	68250	0.11488393193089522
Anteil	31	5.77	1.80	24	3.33	2.44	24	4.21	2.67	6	1	677885	0.23479809709616645
Alm	21	6.14	1.82	29	2.62	2.98	26	8.46	2.27	3	3	11658	0.12380451015471636
Therapeut	38	4.47	2.58	24	4.04	2.88	22	7.59	2.30	9	3	107075	0.09701117565580265
Undank	25	2.80	2.55	22	5.27	2.76	22	4.00	2.98	6	2	1461	0.18769247601940206
Eingeständnis	30	4.97	2.20	33	5.06	2.76	12	3.33	3.73	13	1	12298	0.20606884401293346
Fassung	23	5.57	1.27	29	2.41	2.03	7	3.43	2.15	7	1	210325	0.2828313682429423
Konferenz	26	4.46	2.27	27	2.63	2.13	29	7.31	2.82	9	3	226427	0.26449343424973504
Fütterung	26	6.42	1.50	21	3.05	2.44	20	7.70	2.13	9	3	45508	0.17166268351914327
Existenz	29	6.97	1.95	28	5.32	3.14	21	4.19	2.98	8	4	281757	0.4537798301539378
Kunde	29	5.45	2.25	20	3.40	3.07	19	6.74	2.73	5	3	2158293	0.2384195591000054
Korrespondenz	28	5.93	2.00	19	3.53	3.20	25	4.92	3.23	13	1	31754	0.1620200575261092
Gewohnheit	20	5.65	2.21	12	3.50	2.91	25	4.44	3.14	10	1	88693	0.2769417897945756
Ladung	24	4.54	1.22	14	4.36	2.62	21	6.62	3.06	6	1	90773	0.203533745228545
Reptil	20	4.95	1.79	30	3.87	3.17	17	8.53	1.50	6	3	28356	0.14832564543062346
Mikrofon	27	5.89	1.50	32	3.84	2.89	24	9.29	1.63	8	3	66735	0.04962727183859607
Schnur	21	5.29	2.22	27	2.04	2.75	23	8.57	2.23	6	3	58215	0.19774991054244423
Raubtier	17	4.82	1.98	27	5.33	2.77	24	7.71	2.60	8	2	20158	0.2589084442907663
Gönner	18	5.56	2.36	27	2.85	2.21	24	4.71	3.14	6	1	15511	0.2889990235457605
Zwirn	19	4.68	1.34	23	1.30	1.79	10	8.50	3.06	5	3	3519	0.028329606851901334
Gebet	22	4.00	3.04	34	3.21	2.92	27	6.07	3.52	5	1	190395	0.34253521731565173
Experiment	26	5.15	1.87	29	5.69	2.79	26	6.15	2.46	10	4	255003	0.21663693600215086
Verbreitung	36	4.75	1.52	27	2.56	2.49	20	3.70	2.83	11	1	186252	0.1266459609791424
Konzern	25	3.56	2.40	20	3.55	3.00	26	6.00	2.84	7	1	256335	0.21279169120610483
Zuständigkeit	35	5.20	1.92	24	2.63	2.45	25	3.92	3.28	13	1	86330	0.09255593193284975
Einsatz	26	6.04	2.29	25	4.44	3.23	22	4.64	2.48	7	4	1688647	0.20371431983180713
Pass	20	5.05	2.50	27	3.67	2.43	13	9.23	0.83	4	3	194141	0.08225865024747277
Appell	29	3.79	2.29	25	5.40	2.72	22	3.64	3.08	6	2	58923	0.19315785254951962
Bart	31	4.97	2.61	16	2.38	1.78	24	8.38	2.63	4	3	53605	0.22100823461848212
Schnorchel	24	5.42	1.79	19	2.11	2.38	26	8.77	2.10	10	3	18713	0.07048396589725332
Säumnis	25	3.08	2.04	18	2.78	3.08	15	2.73	2.28	7	1	1292	0.17298283127597136
Ersatz	24	4.50	1.84	32	2.34	2.09	19	4.00	3.54	6	1	202394	0.30773029470356983
Punkt	21	5.33	1.20	25	1.76	2.01	19	8.11	3.02	5	3	2514776	0.17423679308230589
Tor	27	5.52	1.93	26	3.69	3.54	19	8.74	1.94	3	3	1162826	0.1152381801063079
Ungunst	35	2.31	1.92	24	5.25	2.91	14	3.29	2.97	7	2	9210	0.09813646295892615
Palme	35	7.43	2.32	21	2.86	2.43	29	8.86	2.47	5	3	60958	0.17503285992789444
